time,edge_weight_12,edge_weight_23,edge_weight_34,edge_weight_45,edge_weight_46,edge_weight_37,edge_weight_78,device_1_time,device_2_time,device_3_time,device_4_time,device_5_time,device_6_time,device_7_time,device_8_time
3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3661,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3660,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3659,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3658,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
3657,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
3656,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
3655,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
3654,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
3653,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
3652,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
3651,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
3650,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
3649,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
3648,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
3647,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
3646,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
3645,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
3644,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
3643,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
3642,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
3641,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
3640,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
3639,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
3638,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
3637,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
3636,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
3635,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
3634,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
3633,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
3632,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
3631,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
3630,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
3629,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
3628,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
3627,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
3626,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
3625,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
3624,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
3623,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
3622,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
3621,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
3620,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
3619,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
3618,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
3617,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
3616,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
3615,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
3614,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
3613,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
3612,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
3611,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
3610,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
3609,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
3608,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
3607,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
3606,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
3605,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
3604,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
3603,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
3602,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
3601,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
3599,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
3598,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
3597,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
3596,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
3595,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
3594,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
3593,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
3592,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
3591,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
3590,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
3589,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
3588,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
3587,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0
3586,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0
3585,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
3584,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
3583,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
3582,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
3581,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
3580,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
3579,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
3578,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
3577,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0
3576,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
3575,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
3574,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
3573,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
3572,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
3571,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
3570,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
3569,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
3568,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
3567,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0
3566,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
3565,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
3564,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0
3563,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
3562,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
3561,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
3560,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
3559,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
3558,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
3557,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0
3556,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
3555,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
3554,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
3553,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
3552,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0
3551,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
3550,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
3549,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0
3548,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
3547,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0
3546,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0
3545,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0
3544,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0
3543,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
3542,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
3541,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
3540,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
3539,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
3538,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
3537,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0
3536,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0
3535,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
3534,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
3533,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0
3532,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
3531,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
3530,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
3529,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0
3528,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0
3527,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
3526,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0
3525,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0
3524,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
3523,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0
3522,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0
3521,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
3520,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
3519,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0
3518,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
3517,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0
3516,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0
3515,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
3514,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0
3513,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0
3512,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
3511,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0
3510,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0
3509,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0
3508,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0
3507,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0
3506,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0
3505,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0
3504,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0
3503,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0
3502,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
3501,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0
3499,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0
3498,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0
3497,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0
3496,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
3495,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
3494,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0
3493,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0
3492,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0
3491,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0
3490,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0
3489,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0
3488,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0
3487,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0
3486,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0
3485,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0
3484,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0
3483,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0
3482,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0
3481,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0
3480,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0
3479,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0
3478,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0
3477,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0
3476,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0
3475,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0
3474,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0
3473,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0
3472,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0
3471,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0
3470,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0
3469,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0
3468,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0
3467,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0
3466,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0
3465,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0
3464,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0
3463,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
3462,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
3461,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0
3460,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0
3459,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0
3458,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0
3457,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0
3456,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0
3455,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0
3454,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0
3453,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0
3452,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0
3451,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0
3450,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0
3449,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0
3448,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0
3447,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0
3446,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0
3445,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0
3444,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0
3443,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0
3442,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0
3441,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
3440,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0
3439,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0
3438,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
3437,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0
3436,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0
3435,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0
3434,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0
3433,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0
3432,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0
3431,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0
3430,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0
3429,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0
3428,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0
3427,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0
3426,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0
3425,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0
3424,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0
3423,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0
3422,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0
3421,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0
3420,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0
3419,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0
3418,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0
3417,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0
3416,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0
3415,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0
3414,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0
3413,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0
3412,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0
3411,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0
3410,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0
3409,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0
3408,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0
3407,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0
3406,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0
3405,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0
3404,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0
3403,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0
3402,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0
3401,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0
3400,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0
3399,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0
3398,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0
3397,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0
3396,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0
3395,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0
3394,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0
3393,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0
3392,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0
3391,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0
3390,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0
3389,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0
3388,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0
3387,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0
3386,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0
3385,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0
3384,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0
3383,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0
3382,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0
3381,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0
3380,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0
3379,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0
3378,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0
3377,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0
3376,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0
3375,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0
3374,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0
3373,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0
3372,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0
3371,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0
3370,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0
3369,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0
3368,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0
